Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
334,0.5928704,0.6305882,20,4
408,0.6190818,0.7179487,20,4
396,0.6046373,0.7599999,20,2
425,0.6041435,0.7538666,20,2
415,0.6061343,0.7811881,20,1
438,0.6038194,0.8061945,20,4
363,0.5959954,0.8136359,20,3
445,0.616466,0.7996154,20,2
500,0.6068827,0.8091113,20,2
360,0.6145833,0.8153365,20,4
388,0.6152855,0.8147621,20,4
360,0.6079167,0.8113578,20,3
372,0.6286188,0.80876,20,1
316,0.6277623,0.8174103,20,2
367,0.5899768,0.8229453,20,2
425,0.5969213,0.8221089,20,3
475,0.6044213,0.8190882,20,3
359,0.6072917,0.8261406,20,4
418,0.6396991,0.8244616,20,1
384,0.5948611,0.8234996,20,5
