Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
0,0.5194426,0.597142,0,0
12,0.5287916,0.7214617,20,14
18,0.5450487,0.7213492,20,17
32,0.5254452,0.7415895,20,12
48,0.5349682,0.7579082,20,13
122,0.5404714,0.7660246,20,12
76,0.5332547,0.7722251,20,13
41,0.5481893,0.8025805,20,12
86,0.5414216,0.7898016,20,10
82,0.5344968,0.7978568,20,14
88,0.5368612,0.7979596,20,13
122,0.5436869,0.8040047,20,13
237,0.5299345,0.7999226,20,9
70,0.5381238,0.8072616,20,14
201,0.5405593,0.8137459,20,9
50,0.5328096,0.810483,20,15
151,0.5371231,0.8089646,20,12
157,0.5513318,0.8149519,20,9
177,0.5437,0.8163773,20,8
109,0.5450692,0.8210199,20,12
