Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
1,0.5309607,0.6424168,15,15
16,0.5371013,0.7018332,15,13
33,0.5424961,0.7330717,15,8
17,0.5414545,0.740093,15,10
57,0.5333848,0.744767,15,8
31,0.5870563,0.761985,15,10
17,0.5447659,0.7784639,15,10
6,0.5325746,0.7906252,15,12
3,0.527752,0.7821739,15,14
15,0.5366898,0.8048498,15,11
26,0.5490034,0.7924007,15,9
23,0.5358604,0.8089546,15,12
11,0.5361047,0.8091407,15,10
9,0.5333719,0.796262,15,12
64,0.5630916,0.7958362,15,8
35,0.5396155,0.8112949,15,12
27,0.5378793,0.8081598,15,10
7,0.5274048,0.8009181,15,10
29,0.5614262,0.805904,15,9
31,0.5369149,0.8267092,15,9
