Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
448,0.6244599,0.7228261,20,1
480,0.6218364,0.7476562,20,1
449,0.6787809,0.772541,20,3
506,0.6757716,0.7800481,20,2
482,0.6302469,0.7967106,20,1
470,0.6531636,0.7904891,20,2
480,0.6057099,0.8129808,20,1
414,0.6842592,0.8189155,20,2
446,0.6824846,0.8098813,20,3
395,0.6057099,0.8039773,20,2
510,0.6426697,0.8179878,20,1
452,0.610571,0.8154762,20,3
407,0.6656636,0.8214456,20,2
354,0.6427469,0.8178571,20,2
369,0.6570216,0.81875,20,2
433,0.6112654,0.8223473,20,1
477,0.6500772,0.8283121,20,2
483,0.6693673,0.82125,20,2
417,0.6378858,0.8253378,20,2
464,0.6200618,0.8252404,20,1
,0.64348766,,,
