Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
132,0.5798942,0.5957265,20,5
319,0.5771164,0.7257833,20,5
343,0.588492,0.7721688,20,4
286,0.6297619,0.7816665,20,6
161,0.5977513,0.7780424,20,6
323,0.5891534,0.784091,20,4
390,0.5945767,0.811262,20,5
296,0.5862434,0.8057357,20,5
371,0.6006614,0.8058661,20,5
297,0.5833333,0.8073273,20,5
381,0.5906085,0.8057469,20,5
316,0.5861111,0.7930212,20,5
379,0.5683863,0.8095787,20,7
323,0.5910053,0.7952409,20,5
338,0.5812169,0.8168638,20,7
272,0.5842593,0.7940015,20,8
382,0.6041005,0.8167814,20,2
312,0.5966932,0.8149675,20,3
469,0.5838624,0.8210004,20,5
298,0.5722222,0.820366,20,6
