Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
0,0.4634119,0.6325,0,0
0,0.4673363,0.7780883,0,0
0,0.4591059,0.812807,0,0
0,0.4536981,0.8203086,0,0
0,0.4571119,0.8240404,0,0
0,0.4669192,0.8275434,0,0
0,0.4756397,0.8299605,0,0
0,0.4860887,0.8327,0,0
0,0.4631612,0.8337197,0,0
0,0.4668182,0.8345528,0,0
0,0.4693341,0.8352526,0,0
0,0.475563,0.8361162,0,0
0,0.4556753,0.8338986,0,0
0,0.4718219,0.8370381,0,0
0,0.497471,0.8375755,0,0
0,0.4630303,0.8361009,0,0
0,0.4596633,0.8387651,0,0
0,0.4684119,0.8378415,0,0
0,0.4756566,0.8378533,0,0
0,0.4566143,0.8384588,0,0
