Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
0,0.5194445,0.7513227,0,0
0,0.5470899,0.7737269,0,0
0,0.5371693,0.8086419,0,0
0,0.5276455,0.8109565,0,0
0,0.5386243,0.8238048,0,0
1,0.5318783,0.8286605,4,4
0,0.519709,0.8313633,4,4
0,0.5157408,0.8335049,4,4
0,0.5285714,0.8333337,4,4
0,0.5169312,0.8325031,4,4
0,0.530291,0.8356481,4,4
0,0.5149471,0.8332716,4,4
0,0.5498677,0.8346153,4,4
0,0.5113757,0.8350307,4,4
0,0.5309524,0.8338206,4,4
0,0.5089947,0.8386262,4,4
0,0.5034392,0.8372411,4,4
0,0.5208995,0.8373696,4,4
0,0.5300264,0.8376362,4,4
0,0.5141534,0.8373123,4,4
