Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
3,0.5733796,0.6741071,20,11
9,0.5782408,0.7734375,20,1
5,0.5800154,0.8164682,20,1
3,0.5534722,0.8209876,18,2
1,0.5358796,0.8246323,2,2
16,0.5977623,0.8258523,19,2
19,0.5979167,0.8320895,20,4
5,0.5715278,0.825431,18,2
15,0.583642,0.8300781,15,1
3,0.5659722,0.83125,19,16
5,0.5678241,0.8314624,20,1
7,0.5763117,0.8333333,5,1
14,0.5923611,0.8329613,20,1
5,0.5770062,0.8314607,20,1
13,0.6608025,0.8344948,20,1
6,0.5678241,0.8339027,20,4
10,0.5782408,0.8355314,19,3
1,0.5654321,0.8349447,19,19
4,0.553395,0.8351965,14,1
6,0.5782408,0.8356218,18,1
,0.57776235,,,
