Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
0,0.4588992,0.720679,0,0
0,0.4692387,0.7733685,0,0
0,0.4723701,0.801908,0,0
0,0.4878408,0.8038631,0,0
0,0.4752058,0.8199033,0,0
0,0.4559735,0.823251,0,0
0,0.4495242,0.8297697,0,0
0,0.4633359,0.8300341,0,0
0,0.4718493,0.8248454,0,0
0,0.4692966,0.8372073,0,0
0,0.4634838,0.8306445,0,0
0,0.4941165,0.833158,0,0
0,0.4671296,0.834357,0,0
0,0.4952675,0.8350751,0,0
0,0.4863555,0.8354196,0,0
0,0.4874614,0.8372455,0,0
0,0.4655993,0.8356724,0,0
0,0.4834812,0.834945,0,0
0,0.4663709,0.8371503,0,0
0,0.466956,0.8383009,0,0
