Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
34,0.5569255,0.6548619,15,6
15,0.5580062,0.7189239,15,10
113,0.5697279,0.7458698,15,7
119,0.5562701,0.7608525,15,5
191,0.5587522,0.7769475,15,4
127,0.5700172,0.7849118,15,3
57,0.5844848,0.7640228,15,8
115,0.5575554,0.7940933,15,7
121,0.5552544,0.7985997,15,7
83,0.5741587,0.8088989,15,8
175,0.5898861,0.8076062,15,5
123,0.5823117,0.8038673,15,5
112,0.5755346,0.8135391,15,6
118,0.5711944,0.8040143,15,7
138,0.5573369,0.8055832,15,6
149,0.5645334,0.8056817,15,6
91,0.5462136,0.8193514,15,8
110,0.5522704,0.8107917,15,7
101,0.5777786,0.8252012,15,8
83,0.5655293,0.8184483,15,6
