Number of Feasible individuals,Fittest Individual Fitness,Fittest Individual Novelty,Generation of Fittest Individual,Generation of First Feasible Individual
0,0.4776372,0.7299592,0,0
0,0.4790519,0.7800663,0,0
0,0.481261,0.8000333,0,0
0,0.4918201,0.8174446,0,0
0,0.4778577,0.8246442,0,0
0,0.4849215,0.8240017,0,0
0,0.4906627,0.8312988,0,0
0,0.491223,0.8356771,0,0
0,0.4878289,0.8325955,0,0
0,0.4937537,0.8349401,0,0
0,0.526478,0.8353283,0,0
0,0.5039269,0.8337619,0,0
0,0.5038947,0.8419398,0,0
0,0.4800301,0.8360795,0,0
0,0.4803011,0.8368453,0,0
0,0.4938226,0.8376542,0,0
0,0.47394,0.8374863,0,0
0,0.4645337,0.838571,0,0
0,0.4887153,0.8375472,0,0
0,0.4868046,0.8381611,0,0
